"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"760495726715604992","","","2016-08-02 15:21:25 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","Now @Digitized_Laura talking about expanding/improving #webarchiving at Northwestern through “in-reach” #ait16","","","",""
"760490731949686784","","","2016-08-02 15:01:34 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @Dont_Read_AandA: Go ahead and unsubscribe from all the archives listservs.","760490302788427776","2305478504","2016-08-02 14:59:52 +0000",""
"760489834007949312","","","2016-08-02 14:58:00 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Antracoli - survey of regional members: ppl like in-person mtgs, want to talk abt descriptive metadata and working w/ archive-it #ait16","","","",""
"760487434547232768","","","2016-08-02 14:48:28 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","Next up @ #ait16: @dorevabelfiore, Alexis Antracoli talking about starting a regional AI users group in the MARAC region","","","",""
"760481159713259520","","346054122","2016-08-02 14:23:32 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","@jefferson_bail: Archive-It API to relate web archives + archival collections in ArchivesSpace #webarchiving #saa16 #ait16","","","",""
"760216987469504513","760215131305443329","759922261","2016-08-01 20:53:48 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","@K8_Bowers also, you can head to the cdc but don’t overstay your welcome","","","",""
"760213162364956673","","","2016-08-01 20:38:36 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","RT @eiratansey: Guys. https://t.co/XOVSCewi3S","760123833508593664","168644732","2016-08-01 14:43:38 +0000","http://twitter.com/eiratansey/status/760123833508593664/photo/1,http://twitter.com/eiratansey/status/760123833508593664/photo/1"
"760198026304561152","760197906276216832","23345372","2016-08-01 19:38:27 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","@mattysmalls :heart_eyes:","","","",""
"760180664662650880","760170110124457984","2165702801","2016-08-01 18:29:28 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","@karirene69 I know! When SAA comes to your town, it's actually hard to get away from work! Would be great to see you!","","","",""
"760148964226260992","","","2016-08-01 16:23:30 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Weird to be at work looking at the #saa16 hotel in the distance while the tweets roll in. If people want to do something this evening, hmu","","","",""
